14-Jan,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
09-Nov,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
11-Jun,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
11-Nov,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
11-Dec,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
12-Nov,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
13-Apr,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
13-Jul,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
13-May,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
13-Nov,[7.0-42.0],[0.0-0.0],[0.0-20.0],[1562.0-9892.0],[94.0-2366.0],[39.0-487.0],[10.0-139.0],[117.0-1211.0],[18.0-159.0],[0.0-451.0],[0.0-0.0],[0.0-0.0],[20.0-65.0],[0.0-23.0],[8.0-488.0],[0.0-0.0],[15.0-595.0],[0.0-0.0],[0.0-1.0],[13.0-51.0],[0.0-1.0],[2.0-73.0],[0.0-15.0],[0.0-0.0],[22.0-611.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-3.0],[0.0-0.0],[0.0-9.0],[0.0-1.0],[0.0-99.0],[14.0-114.0],[11.0-127.0],[0.0-6.0],[0.0-0.0],[0.0-2.0],[0.0-4.0],[0.0-0.0],[5.0-174.0],[0.0-5.0],[0.0-1.0],[0.0-1.0],[182.0-1237.0],[0.0-25.0],[9.0-31.0],[1.0-48.0],[0.0-5.0],[0.0-0.0],[117.0-1211.0],[0.0-3.0],[2.0-48.0],[3.0-44.0],[1.0-28.0],[5.0-53.0],[0.0-0.0],[0.0-4.0],[0.0-13.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[1.0-25.0],[0.0-0.0],[0.0-20.0],[30.0-132.0],[0.0-0.0],[0.0-0.0],[11.0-40.0],[0.0-0.0],[0.0-16.0],dbbbbbcbbbb,Group: 0
