13-Dec,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Mar,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Apr,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-May,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Jun,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Jul,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Aug,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Sep,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Oct,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
14-Nov,[28.0-93.0],[0.0-15.0],[7.0-77.0],[7862.0-14901.0],[1723.0-4167.0],[336.0-931.0],[96.0-197.0],[718.0-1535.0],[101.0-491.0],[190.0-1567.0],[0.0-4.0],[0.0-241.0],[46.0-149.0],[3.0-1138.0],[382.0-693.0],[0.0-265.0],[438.0-2218.0],[0.0-963.0],[0.0-265.0],[31.0-281.0],[0.0-45.0],[37.0-109.0],[0.0-29.0],[0.0-0.0],[397.0-807.0],[0.0-0.0],[0.0-62.0],[0.0-34.0],[0.0-84.0],[0.0-0.0],[0.0-89.0],[0.0-93.0],[0.0-253.0],[70.0-246.0],[59.0-196.0],[0.0-28.0],[0.0-1.0],[0.0-6.0],[2.0-12.0],[0.0-1.0],[60.0-174.0],[0.0-59.0],[0.0-2.0],[0.0-8.0],[706.0-1237.0],[13.0-45.0],[4.0-30.0],[17.0-70.0],[0.0-59.0],[0.0-0.0],[718.0-1535.0],[0.0-7.0],[26.0-91.0],[31.0-77.0],[5.0-34.0],[22.0-67.0],[0.0-20.0],[0.0-9.0],[0.0-16.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-2.0],[0.0-10.0],[0.0-14.0],[0.0-0.0],[0.0-4.0],[0.0-0.0],[0.0-0.0],[0.0-0.0],[0.0-31.0],[0.0-2.0],[7.0-45.0],[0.0-0.0],[7.0-77.0],[81.0-165.0],[0.0-6.0],[0.0-14.0],[14.0-51.0],[0.0-75.0],[4.0-44.0],baa,Group: 0
